CLASS,LABEL,ERROR,LATENT_DISTANCE,EMBEDDING_DISTANCE,TYPE_DATASET
Swing-SideAngle,1,471.1923,4.9938498,25.273104,TRAIN
Diving-Side,5,221.01714,5.0373206,17.765884,TRAIN
Kicking,6,247.94171,5.688751,21.000925,TRAIN
Diving-Side,5,139.14061,8.131684,18.252773,TRAIN
Kicking,6,168.60751,6.324694,19.847143,TRAIN
Diving-Side,5,104.99123,6.7670927,14.980734,TRAIN
Run-Side,0,287.17465,8.13918,27.391949,TRAIN
Diving-Side,5,147.55345,4.6635256,14.651593,TRAIN
Swing-SideAngle,1,248.5379,6.8145423,21.194729,TRAIN
Run-Side,0,251.06012,3.9219534,18.71876,TRAIN
Swing-SideAngle,1,366.9215,4.145296,20.541924,TRAIN
Swing-Bench,2,440.09442,4.733239,23.690798,TRAIN
Run-Side,0,263.76166,7.1177363,25.112371,TRAIN
Riding-Horse,3,202.91505,6.288087,19.555805,TRAIN
Kicking,6,522.3308,5.828517,25.798431,TRAIN
Swing-SideAngle,1,179.16245,3.861885,16.82598,TRAIN
Diving-Side,5,114.099045,6.030347,14.853469,TRAIN
Run-Side,0,359.08594,6.357024,25.780748,TRAIN
Riding-Horse,3,352.44104,7.2616134,22.894064,TRAIN
Swing-Bench,2,124.06999,7.0831647,16.654135,TRAIN
Diving-Side,5,123.00592,4.592112,13.170617,TRAIN
Run-Side,0,183.53752,7.3020005,25.080688,TRAIN
Diving-Side,5,213.77618,4.2928286,17.686668,TRAIN
Riding-Horse,3,183.81253,4.455272,17.029615,TRAIN
Golf-Swing,4,278.00555,9.236556,20.704475,TRAIN
Riding-Horse,3,291.22565,6.0551715,20.826143,TRAIN
Swing-Bench,2,167.2794,4.789712,17.58937,TRAIN
Diving-Side,5,175.38802,4.798979,16.222532,TRAIN
Swing-Bench,2,117.086105,5.368672,15.618703,TRAIN
Diving-Side,5,111.18364,5.4430614,13.530825,TRAIN
Kicking,6,259.00848,8.000588,23.272274,TRAIN
Kicking,6,162.14024,11.565414,24.445995,TRAIN
Riding-Horse,3,172.09009,5.2008862,17.683437,TRAIN
Riding-Horse,3,329.57916,6.447322,23.17871,TRAIN
Golf-Swing,4,167.55643,5.809113,16.76968,TRAIN
Kicking,6,245.35979,5.146476,19.681831,TRAIN
Run-Side,0,205.10808,6.7547126,20.108912,TRAIN
Riding-Horse,3,152.26752,7.711721,19.428492,TRAIN
Kicking,6,151.7238,7.293624,20.690838,TRAIN
Swing-SideAngle,1,593.98425,5.467914,28.685673,TRAIN
Diving-Side,5,112.690765,5.209225,13.472244,TRAIN
Golf-Swing,4,349.19305,2.9304523,19.800884,TRAIN
Riding-Horse,3,199.6986,4.004927,17.290619,TRAIN
Riding-Horse,3,153.2421,7.793634,17.887102,TRAIN
Riding-Horse,3,191.30716,7.6861796,20.764763,TRAIN
Diving-Side,5,184.43237,2.7680295,14.593866,TRAIN
Swing-SideAngle,1,228.15161,3.4346426,17.924946,TRAIN
Riding-Horse,3,209.10683,7.3381624,18.168184,TRAIN
Kicking,6,125.534325,9.957554,22.584742,TRAIN
Golf-Swing,4,247.15143,4.1647773,17.779478,TRAIN
Riding-Horse,3,231.93796,8.1277685,20.122902,TRAIN
Swing-SideAngle,1,274.57922,3.4478297,18.649961,TRAIN
Run-Side,0,258.64038,6.2597017,24.958832,TRAIN
Kicking,6,199.56236,8.910188,22.65615,TRAIN
Swing-SideAngle,1,213.07741,5.5622582,17.570877,TRAIN
Golf-Swing,4,197.96246,8.066614,20.813091,TRAIN
Golf-Swing,4,203.93503,4.480126,15.982983,TRAIN
Golf-Swing,4,225.2645,5.6856666,17.890978,TRAIN
Riding-Horse,3,494.19604,5.511994,27.24738,TRAIN
Kicking,6,233.20929,8.4227705,25.19332,TRAIN
Run-Side,0,153.26193,8.140649,25.153212,TRAIN
Swing-SideAngle,1,158.11679,5.8499913,19.392307,TRAIN
Golf-Swing,4,311.59927,5.5012074,20.683779,TRAIN
Swing-Bench,2,367.79205,6.0719414,25.796366,TRAIN
Run-Side,0,194.87589,4.9901967,18.665241,TRAIN
Swing-SideAngle,1,275.45828,5.735932,19.203806,TRAIN
Riding-Horse,3,173.62958,9.042596,20.40117,TRAIN
Run-Side,0,164.91252,4.4911513,17.725319,TRAIN
Swing-SideAngle,1,122.57207,6.823589,17.277462,TRAIN
Swing-SideAngle,1,196.12286,5.0048842,18.08196,TRAIN
Swing-SideAngle,1,257.0066,4.062276,19.070353,TRAIN
Run-Side,0,216.90125,8.285351,25.073362,TRAIN
Golf-Swing,4,284.88342,2.5621943,17.2702,TRAIN
Golf-Swing,4,264.27045,5.627626,19.197,TRAIN
Diving-Side,5,129.72812,2.6420732,12.3781595,TRAIN
Swing-Bench,2,266.85223,6.0480237,20.321688,TRAIN
Run-Side,0,381.69812,6.4224873,27.23052,TRAIN
Diving-Side,5,344.57385,3.4279108,19.853308,TRAIN
Swing-SideAngle,1,395.67526,4.465147,23.106543,TRAIN
Riding-Horse,3,157.28886,7.4288926,18.392809,TRAIN
Swing-Bench,2,172.10141,8.886363,21.655325,TRAIN
Riding-Horse,3,158.03125,4.577394,16.560804,TRAIN
Kicking,6,136.12555,13.530131,24.906927,TRAIN
Run-Side,0,228.62128,4.5602293,19.539879,TRAIN
Swing-Bench,2,204.1148,7.2413616,20.69944,TRAIN
Riding-Horse,3,136.19873,6.213509,17.142326,TRAIN
Diving-Side,5,288.2548,4.83294,18.187204,TRAIN
Riding-Horse,3,118.833466,9.997796,19.223236,TRAIN
Swing-SideAngle,1,236.09259,5.614128,19.188547,TRAIN
Swing-Bench,2,105.28129,7.752413,16.603569,TRAIN
Diving-Side,5,89.15358,5.703738,13.838532,TRAIN
Riding-Horse,3,143.96527,8.305399,17.648605,TRAIN
Riding-Horse,3,250.07336,7.2622895,22.998098,TRAIN
Diving-Side,5,145.37354,5.288474,14.864317,TRAIN
Riding-Horse,3,226.17291,7.742983,21.335943,TRAIN
Swing-SideAngle,1,227.1693,5.916332,20.808071,TRAIN
Run-Side,0,120.10769,7.02894,18.330616,TRAIN
Kicking,6,278.18207,5.482498,20.782757,TRAIN
Swing-Bench,2,378.07294,6.1491327,25.789907,TRAIN
Kicking,6,411.96628,5.676829,25.046183,TRAIN
Riding-Horse,3,176.76395,8.368741,23.005617,TRAIN
Diving-Side,5,414.23425,5.0419884,22.137135,TRAIN
Diving-Side,5,342.4082,3.9426272,19.909729,TRAIN
Run-Side,0,288.4303,7.453443,24.541336,TRAIN
Diving-Side,5,177.25093,5.525476,17.471268,TRAIN
Diving-Side,5,156.4982,4.3773265,15.109788,TRAIN
Diving-Side,5,110.316895,4.5984297,14.140251,TRAIN
Swing-Bench,2,384.45343,4.909516,22.462332,TRAIN
Swing-SideAngle,1,129.1203,4.550012,15.777226,TRAIN
Riding-Horse,3,275.11215,6.1939955,20.283508,TRAIN
Swing-Bench,2,156.33795,6.9280524,17.713593,TRAIN
Golf-Swing,4,270.33264,4.361257,17.321033,TRAIN
Riding-Horse,3,150.76158,5.433483,17.18053,TRAIN
Golf-Swing,4,212.05365,5.020322,17.078537,TRAIN
Riding-Horse,3,194.88255,4.7823553,17.940931,TRAIN
Diving-Side,5,98.71965,5.9079137,13.240372,TRAIN
Riding-Horse,3,233.76064,5.560026,19.644625,TRAIN
Run-Side,0,334.44067,6.876193,26.973839,TRAIN
Golf-Swing,4,243.14435,7.0627565,20.63621,TRAIN
Kicking,6,323.38086,7.1276364,23.486774,TRAIN
Run-Side,0,335.29724,3.0494428,19.63628,TRAIN
Riding-Horse,3,101.14702,9.024092,17.369114,TRAIN
Riding-Horse,3,311.37424,5.1191273,20.204847,TRAIN
Diving-Side,5,75.6501,6.615759,13.893106,TRAIN
Kicking,6,252.49738,5.4084635,20.746374,TRAIN
Swing-SideAngle,1,196.8889,3.7150617,17.002224,TRAIN
Riding-Horse,3,191.97095,6.5391116,18.912258,TRAIN
Swing-SideAngle,1,184.50813,5.261314,18.75773,TRAIN
Diving-Side,5,190.75772,4.463617,15.884708,TRAIN
Riding-Horse,3,162.4233,7.951092,21.849743,TRAIN
Riding-Horse,3,137.78584,7.066297,17.852798,TRAIN
Golf-Swing,4,214.55508,3.5382538,15.962133,TRAIN
Swing-SideAngle,1,137.12714,4.557023,15.081983,TRAIN
Run-Side,0,204.8733,10.080462,25.708603,TRAIN
Riding-Horse,3,194.55331,7.4707055,18.984934,TRAIN
Swing-Bench,2,365.7207,5.028456,23.6224,TRAIN
Diving-Side,5,280.8687,4.1258435,18.37018,TRAIN
Swing-Bench,2,115.57415,7.948977,18.896946,TRAIN
Run-Side,0,347.45453,6.175928,25.302832,TRAIN
Swing-SideAngle,1,296.78265,4.5081735,20.410984,TRAIN
Diving-Side,5,165.41501,4.3043923,15.5386305,TRAIN
Riding-Horse,3,243.65009,5.4469843,18.749264,TRAIN
Riding-Horse,3,205.04715,7.622303,19.534891,TRAIN
Kicking,6,524.3596,4.4202127,25.735687,TRAIN
Riding-Horse,3,233.45956,6.066202,19.069176,TRAIN
Golf-Swing,4,170.06558,6.1769433,17.451498,TRAIN
Golf-Swing,4,191.39116,7.736312,17.480642,TRAIN
Golf-Swing,4,201.50555,4.130394,16.586565,TRAIN
Kicking,6,279.62378,4.9475746,20.369322,TRAIN
Swing-Bench,2,193.99658,5.965987,19.441381,TRAIN
Diving-Side,5,176.7846,4.4529424,14.72569,TRAIN
Golf-Swing,4,225.42972,5.1563663,17.981775,TRAIN
Kicking,6,135.4184,9.229308,20.57199,TRAIN
Swing-SideAngle,1,269.7735,4.36275,19.248837,TRAIN
Swing-Bench,2,108.02602,5.3771596,16.681343,TRAIN
Swing-Bench,2,192.63919,5.8833976,18.08344,TRAIN
Swing-Bench,2,131.04651,5.3495226,15.966801,TRAIN
Run-Side,0,416.6537,6.688183,27.34844,TRAIN
Swing-SideAngle,1,126.805885,6.3569255,17.905823,TRAIN
Swing-Bench,2,148.70145,8.936261,20.024668,TRAIN
Swing-Bench,2,112.27412,8.416955,17.33071,TRAIN
Kicking,6,250.85611,5.494998,20.673553,TRAIN
Golf-Swing,4,214.53835,8.767542,22.660402,TRAIN
Diving-Side,5,93.86656,5.2668743,12.658799,TRAIN
Swing-SideAngle,1,136.64719,5.7619915,17.832836,TRAIN
Run-Side,0,226.2414,5.845105,20.14544,TRAIN
Swing-Bench,2,140.54294,5.510974,15.879943,TRAIN
Swing-SideAngle,1,292.21332,4.0884857,18.364855,TRAIN
Diving-Side,5,202.90497,4.6257625,16.539764,TRAIN
Riding-Horse,3,112.60803,8.891657,20.81098,TRAIN
Swing-Bench,2,140.17769,5.505368,16.728273,TRAIN
Run-Side,0,187.98138,5.769075,19.33492,TRAIN
Riding-Horse,3,110.156166,7.089756,17.275385,TRAIN
Golf-Swing,4,304.09705,4.4163666,19.781586,TRAIN
Run-Side,0,295.82806,8.257678,25.150568,TRAIN
Riding-Horse,3,126.18829,6.5402904,17.480923,TRAIN
Kicking,6,196.53381,6.440056,20.346838,TRAIN
Kicking,6,316.89856,6.9662395,22.212105,TRAIN
Swing-Bench,2,239.30847,4.888293,19.623674,TRAIN
Run-Side,0,181.31015,5.5312333,18.807737,TRAIN
Riding-Horse,3,127.36721,7.532957,17.534588,TRAIN
Swing-Bench,2,186.38458,7.0744305,19.29058,TRAIN
Diving-Side,5,119.16501,6.556337,14.7202015,TRAIN
Run-Side,0,124.98521,6.4830494,18.930613,TRAIN
Diving-Side,5,397.51175,4.799006,23.092775,TRAIN
Kicking,6,326.82825,9.195477,25.211668,TRAIN
Swing-Bench,2,109.910065,6.367396,16.537857,TRAIN
Swing-SideAngle,1,120.92644,6.365444,17.357967,TRAIN
Golf-Swing,4,312.25647,2.6382592,18.072317,TRAIN
Golf-Swing,4,204.96281,6.7932153,17.934263,TRAIN
Riding-Horse,3,89.833145,7.3256187,16.615446,TRAIN
Kicking,6,243.19827,8.180949,24.787668,TRAIN
Golf-Swing,4,216.67535,5.466595,18.330372,TRAIN
Kicking,6,311.8896,10.219046,26.50191,TRAIN
Riding-Horse,3,141.30331,8.395571,19.837643,TRAIN
Kicking,6,208.1009,9.042538,24.629293,TRAIN
Diving-Side,5,157.77264,3.616343,14.583602,TRAIN
Run-Side,0,381.51312,5.77423,25.656221,TRAIN
Kicking,6,215.83319,5.5584693,20.076448,TRAIN
Golf-Swing,4,233.56287,4.8171935,17.316776,TRAIN
Golf-Swing,4,291.6585,4.178292,18.488602,TRAIN
Run-Side,0,245.99501,3.621053,18.745607,TRAIN
Swing-Bench,2,90.93597,6.4375114,15.593496,TRAIN
Riding-Horse,3,191.81993,7.608563,20.090714,TRAIN
Run-Side,0,272.75052,6.663544,25.631771,TRAIN
Kicking,6,272.1702,7.739856,22.276873,TRAIN
Run-Side,0,433.25146,6.141073,27.281109,TRAIN
Run-Side,0,220.29964,3.8570724,18.992243,TRAIN
Swing-Bench,2,195.50473,7.9175935,20.642027,TRAIN
Golf-Swing,4,135.06406,8.491342,17.132812,TRAIN
Kicking,6,264.67197,4.96612,20.210762,TRAIN
Golf-Swing,4,296.22693,5.6950316,20.005075,TRAIN
Swing-SideAngle,1,224.63358,4.2369933,16.936903,TRAIN
Diving-Side,5,121.44246,5.3753653,14.384341,TRAIN
Diving-Side,5,207.59702,5.3354316,17.794832,TRAIN
Swing-SideAngle,1,177.77808,4.276393,15.927794,TRAIN
Kicking,6,175.64163,6.5965714,20.19162,TRAIN
Diving-Side,5,321.45206,8.1448555,25.13591,TRAIN
Swing-SideAngle,1,198.71826,3.471369,17.23405,TRAIN
Swing-SideAngle,1,142.75194,6.264167,17.474562,TRAIN
Diving-Side,5,148.83833,3.5555089,13.833955,TRAIN
Kicking,6,352.1886,5.2763495,22.692963,TRAIN
Kicking,6,187.80617,5.619569,19.894932,TRAIN
Kicking,6,168.7785,6.4959183,20.250736,TRAIN
Kicking,6,267.98935,8.311257,24.65074,TRAIN
Diving-Side,5,221.01819,5.0648546,16.659391,TRAIN
Kicking,6,331.94885,4.624747,21.32228,TRAIN
Swing-Bench,2,118.86595,5.9120927,16.072582,TRAIN
Kicking,6,343.99643,7.2239566,24.882507,TRAIN
Riding-Horse,3,305.84106,4.660767,19.541697,TRAIN
Swing-SideAngle,1,163.94014,6.197571,19.081228,TRAIN
Swing-Bench,2,73.21379,7.1524153,15.951691,TRAIN
Swing-Bench,2,306.58487,5.4221473,21.241972,TRAIN
Golf-Swing,4,305.15857,6.5785737,20.63876,TRAIN
Swing-SideAngle,1,356.15726,4.4434342,20.782948,TRAIN
Run-Side,0,220.47491,5.4641347,19.765713,TRAIN
Riding-Horse,3,139.43475,8.710143,17.577013,TRAIN
Run-Side,0,226.12874,10.101397,26.90697,TRAIN
Golf-Swing,4,183.74722,8.066596,20.273474,TRAIN
Diving-Side,5,126.23564,6.792953,15.641447,TRAIN
Swing-Bench,2,155.99323,8.331898,19.205572,TRAIN
Swing-SideAngle,1,170.22974,3.8022962,16.016792,TRAIN
Swing-SideAngle,1,232.6484,5.833471,20.617357,TRAIN
Golf-Swing,4,235.9896,8.492891,24.934614,TRAIN
Swing-SideAngle,1,181.7992,5.6795635,17.577906,TRAIN
Swing-Bench,2,112.23506,5.943913,16.386532,TRAIN
Diving-Side,5,458.93213,5.385231,23.437344,TRAIN
Golf-Swing,4,402.1455,4.461883,22.725883,TRAIN
Swing-SideAngle,1,179.40613,6.670372,17.538805,TRAIN
Diving-Side,5,222.87439,4.662026,17.233482,TRAIN
Run-Side,0,319.13074,8.3951,26.862858,TRAIN
Run-Side,0,205.29175,4.612989,18.899448,TRAIN
Swing-Bench,2,160.42053,6.190266,19.073015,TRAIN
Riding-Horse,3,270.91187,6.1357017,19.420765,TRAIN
Kicking,6,274.02612,8.050056,22.52208,TRAIN
Run-Side,0,353.89822,4.178166,21.908285,TRAIN
Run-Side,0,255.95543,6.1350484,24.30718,TRAIN
Diving-Side,5,100.60573,5.1614246,12.791259,TRAIN
Swing-Bench,2,179.09308,6.2179174,16.981174,TRAIN
Diving-Side,5,87.375885,5.5277696,13.507622,TRAIN
Swing-SideAngle,1,253.89262,5.1668777,18.755224,TRAIN
Kicking,6,146.978,11.267691,24.294214,TRAIN
Golf-Swing,4,285.28955,7.688077,23.418106,TRAIN
Riding-Horse,3,150.30606,8.207155,19.038313,TRAIN
Golf-Swing,4,272.4688,5.346707,19.384956,TRAIN
Riding-Horse,3,201.82591,3.7931151,16.916584,TRAIN
Kicking,6,306.93042,4.9692287,21.059345,TRAIN
Diving-Side,5,189.24834,3.7125525,15.547855,TRAIN
Swing-SideAngle,1,255.06177,3.58472,17.839499,TRAIN
Riding-Horse,3,118.25891,9.223418,19.0736,TRAIN
Run-Side,0,231.00067,5.5618744,19.097902,TRAIN
Riding-Horse,3,156.8453,7.9434223,20.015219,TRAIN
Riding-Horse,3,148.17192,8.179312,19.047676,TRAIN
Kicking,6,196.311,9.033116,22.008018,TRAIN
Riding-Horse,3,214.43102,7.3479595,20.143787,TRAIN
Swing-Bench,2,126.66385,7.185999,18.062721,TRAIN
Swing-Bench,2,305.58167,7.7410626,21.90168,TRAIN
Diving-Side,5,326.31668,3.8830636,19.829273,TRAIN
Kicking,6,167.79349,8.400848,21.562834,TRAIN
Swing-Bench,2,201.61716,5.302656,17.37348,TRAIN
Swing-Bench,2,216.30927,4.677451,19.366295,TRAIN
Swing-Bench,2,155.27187,7.591907,18.244602,TRAIN
Swing-Bench,2,130.16176,7.3974247,18.342598,TRAIN
Diving-Side,5,164.61986,5.0159807,15.559906,TRAIN
Run-Side,0,139.05002,7.3981323,19.04073,TRAIN
Kicking,6,354.57092,6.929281,23.452988,TRAIN
Swing-SideAngle,1,171.48552,5.708666,18.33293,TRAIN
Riding-Horse,3,246.75432,3.7498887,17.578981,TRAIN
Diving-Side,5,133.09215,4.8318915,15.127858,TRAIN
Swing-Bench,2,191.37897,5.7354827,17.469778,TRAIN
Golf-Swing,4,259.5384,7.9760084,24.547552,TRAIN
Diving-Side,5,160.33563,4.5708146,15.428967,TRAIN
Swing-Bench,2,118.05377,8.689139,18.655556,TRAIN
Riding-Horse,3,216.61407,6.570794,19.507996,TRAIN
Swing-SideAngle,1,341.89688,5.230516,22.25587,TRAIN
Diving-Side,5,88.02865,4.153684,11.867631,TRAIN
Kicking,6,94.68706,9.003795,21.722155,TRAIN
Kicking,6,134.57921,8.200059,19.781393,TRAIN
Diving-Side,5,114.77191,6.8099236,14.745568,TRAIN
Swing-Bench,2,175.57498,6.966648,18.506187,TRAIN
Swing-SideAngle,1,351.79764,4.8456817,21.643902,TRAIN
Kicking,6,140.63287,13.162779,24.419409,TRAIN
Kicking,6,292.3282,7.223215,23.273424,TRAIN
Run-Side,0,122.729645,8.339014,19.337194,TRAIN
Riding-Horse,3,384.60046,2.7712512,20.217052,TRAIN
Riding-Horse,3,217.16408,6.2490063,19.957449,TRAIN
Kicking,6,229.55815,8.098474,21.644766,TRAIN
Run-Side,0,239.87463,4.939735,19.840673,TRAIN
Diving-Side,5,330.2385,7.0286894,24.11106,TRAIN
Riding-Horse,3,182.20522,7.5606723,18.543173,TRAIN
Swing-Bench,2,87.90246,8.731001,17.799623,TRAIN
Golf-Swing,4,266.0722,4.3576565,18.08828,TRAIN
Riding-Horse,3,192.96616,7.887807,20.1021,TRAIN
Swing-SideAngle,1,186.17747,5.692199,16.72624,TRAIN
Kicking,6,241.44998,5.408577,20.580248,TRAIN
Golf-Swing,4,219.06688,5.227821,17.272257,TRAIN
Riding-Horse,3,80.320755,6.2423368,15.699848,TRAIN
Golf-Swing,4,264.46664,4.2413316,17.365314,TRAIN
Riding-Horse,3,187.80247,5.8880773,17.882076,TRAIN
Golf-Swing,4,155.10196,5.7305846,16.539606,TRAIN
Kicking,6,115.4466,13.007301,24.87843,TRAIN
Kicking,6,199.75117,6.41646,20.049698,TRAIN
Golf-Swing,4,276.03864,3.7600439,17.671766,TRAIN
Swing-Bench,2,143.33214,7.915202,18.35037,TRAIN
Run-Side,0,213.33607,6.3814335,19.877586,TRAIN
Swing-Bench,2,385.6241,6.099048,25.177877,TRAIN
Swing-Bench,2,151.18307,7.142077,18.365995,TRAIN
Kicking,6,95.87189,13.042905,24.458136,TRAIN
Riding-Horse,3,199.57083,6.5790257,19.216965,TRAIN
Swing-Bench,2,256.67136,4.75217,18.943655,TRAIN
Riding-Horse,3,189.83975,8.778572,23.124214,TRAIN
Golf-Swing,4,193.23866,5.600504,16.360704,TRAIN
Swing-SideAngle,1,402.38293,3.9779382,21.649326,TRAIN
Swing-Bench,2,132.71501,7.1448627,18.603027,TRAIN
Golf-Swing,4,368.78854,3.139176,19.81344,TRAIN
Riding-Horse,3,168.11115,6.500759,17.60415,TRAIN
Diving-Side,5,234.91745,4.516259,17.515736,TRAIN
Swing-SideAngle,1,136.05652,5.481763,16.56319,TRAIN
Golf-Swing,4,181.73112,6.640828,17.671692,TRAIN
Diving-Side,5,231.33273,3.104576,16.49659,TRAIN
Swing-Bench,2,165.77388,7.358436,17.785059,TRAIN
Kicking,6,212.06691,7.3641105,23.678299,TRAIN
Golf-Swing,4,219.39717,9.115921,18.877281,TRAIN
Swing-Bench,2,166.09715,6.044845,18.529398,TRAIN
Run-Side,0,210.25786,5.4861016,18.654781,TRAIN
Run-Side,0,194.21468,7.7602396,24.949701,TRAIN
Swing-SideAngle,1,164.77939,6.872257,19.305681,TRAIN
Riding-Horse,3,101.8268,6.8910832,16.644302,TRAIN
Kicking,6,211.37085,8.721737,22.812944,TRAIN
Riding-Horse,3,282.8603,7.1716785,23.481375,TRAIN
Run-Side,0,180.12776,8.535833,26.2875,TRAIN
Kicking,6,161.47212,12.320705,25.183332,TRAIN
Run-Side,0,254.07034,4.0126915,19.305784,TRAIN
Kicking,6,165.28282,6.477247,19.88095,TRAIN
Run-Side,0,329.1316,7.9411836,28.223867,TRAIN
Run-Side,0,170.91945,7.399017,19.653608,TRAIN
Run-Side,0,160.88676,4.4245706,17.919203,TRAIN
Golf-Swing,4,352.7009,3.7639031,21.299599,TRAIN
Run-Side,0,296.4909,7.8177853,28.316233,TRAIN
Run-Side,0,175.0698,6.298615,19.068428,TRAIN
Swing-Bench,2,95.86289,7.1540885,16.715279,TRAIN
Golf-Swing,4,206.48181,8.1938715,19.077703,TRAIN
Swing-Bench,2,285.67963,5.4209933,21.371374,TRAIN
Run-Side,0,169.08487,5.3326106,18.181263,TRAIN
Diving-Side,5,159.99591,4.1193557,14.802101,TRAIN
Run-Side,0,134.75903,8.471652,25.240477,TRAIN
Kicking,6,271.8546,9.003088,24.297081,TRAIN
Diving-Side,5,265.10214,4.597194,18.067904,TRAIN
Riding-Horse,3,112.881836,6.11879,16.500393,TRAIN
Riding-Horse,3,413.47745,6.527297,25.364508,TRAIN
Swing-Bench,2,93.54947,6.2698064,16.295227,TRAIN
Golf-Swing,4,272.11554,4.176202,18.858637,TRAIN
Golf-Swing,4,290.1131,3.998217,18.248304,TRAIN
Diving-Side,5,213.6988,2.865406,15.882847,TRAIN
Golf-Swing,4,369.4179,4.171812,20.860834,TRAIN
Run-Side,0,372.9613,6.105858,26.461254,TRAIN
Run-Side,0,278.78564,6.8097515,25.717974,TRAIN
Diving-Side,5,140.15875,11.308255,24.079887,TRAIN
Run-Side,0,186.67645,5.654448,18.700827,TRAIN
Run-Side,0,384.3755,6.444212,26.841286,TRAIN
Diving-Side,5,218.98842,3.8442745,16.627056,TRAIN
Riding-Horse,3,157.64992,8.462274,19.76208,TRAIN
Run-Side,0,258.77286,7.346741,25.300827,TRAIN
Run-Side,0,237.58638,3.6212463,19.144999,TRAIN
Run-Side,0,167.32886,7.321533,19.410902,TRAIN
Diving-Side,5,95.59877,6.3246083,14.495904,TRAIN
Golf-Swing,4,258.997,5.311346,18.274015,TRAIN
Golf-Swing,4,199.41653,8.633779,21.553596,TRAIN
Golf-Swing,4,156.73206,5.7610745,16.561369,TRAIN
Diving-Side,5,161.66566,8.900226,21.118027,TRAIN
Golf-Swing,4,290.1283,3.8442981,18.244545,TRAIN
Riding-Horse,3,203.03003,4.5370507,17.504728,TRAIN
Kicking,6,346.9651,4.63628,21.790192,TRAIN
Kicking,6,393.44888,5.7343864,24.169214,TRAIN
Diving-Side,5,132.63434,12.598735,25.3825,TRAIN
Riding-Horse,3,199.12137,3.653214,17.566559,TRAIN
Run-Side,0,210.13017,4.890333,19.454376,TRAIN
Golf-Swing,4,295.69485,6.454721,21.502478,TRAIN
Golf-Swing,4,180.56934,4.3272605,15.562421,TRAIN
Riding-Horse,3,200.59302,4.413775,16.802765,TRAIN
Riding-Horse,3,201.23296,8.476755,21.23629,TRAIN
Swing-Bench,2,200.25783,6.934832,19.794926,TRAIN
Run-Side,0,278.29822,8.8851385,25.35966,TRAIN
Swing-SideAngle,1,135.79187,5.5093436,15.692483,TRAIN
Golf-Swing,4,391.10083,4.838024,21.632414,TRAIN
Run-Side,0,152.08594,6.334097,19.045788,TRAIN
Swing-SideAngle,1,167.018,4.312513,16.65108,TRAIN
Swing-SideAngle,1,323.55444,4.8231635,21.756006,TRAIN
Golf-Swing,4,325.88104,4.896027,20.077148,TRAIN
Swing-Bench,2,203.85895,5.3122506,17.680986,TRAIN
Run-Side,0,216.43051,4.465548,18.577948,TRAIN
Swing-SideAngle,1,271.17105,5.9707522,20.611479,TRAIN
Golf-Swing,4,261.29773,8.70456,19.858006,TRAIN
Run-Side,0,231.5728,4.508188,19.213013,TRAIN
Swing-Bench,2,247.61093,7.7871356,21.706161,TRAIN
Kicking,6,125.23877,9.2406025,22.319239,TRAIN
Golf-Swing,4,174.40652,6.566197,17.469744,TRAIN
Run-Side,0,192.14078,3.7592454,18.564695,TRAIN
Kicking,6,329.5067,7.9311147,23.916698,TRAIN
Kicking,6,306.6677,7.974693,22.48931,TRAIN
Swing-Bench,2,126.54384,7.5862007,17.27948,TRAIN
Diving-Side,5,125.2435,5.1809783,13.882597,TRAIN
Diving-Side,5,116.662125,5.418417,14.707623,TRAIN
Kicking,6,208.9382,8.952237,21.887033,TRAIN
Riding-Horse,3,636.62415,5.721044,28.99191,TRAIN
Riding-Horse,3,181.43112,6.9445577,18.377094,TRAIN
Swing-Bench,2,219.05252,7.9484735,20.855467,TRAIN
Kicking,6,160.68124,5.9472084,19.54723,TRAIN
Run-Side,0,148.46777,7.709258,19.284744,TRAIN
Riding-Horse,3,266.03943,5.9546046,20.702917,TRAIN
Diving-Side,5,122.66127,4.701279,14.160305,TRAIN
Run-Side,0,238.2095,6.474222,24.570364,TRAIN
Swing-SideAngle,1,217.43488,6.6560607,18.625843,TRAIN
Swing-SideAngle,1,552.03467,5.3017926,27.677967,TRAIN
Swing-Bench,2,327.56097,8.348522,24.357979,TRAIN
Run-Side,0,133.16287,8.540836,24.794128,TRAIN
Riding-Horse,3,271.65326,5.206023,20.097633,TRAIN
Diving-Side,5,193.28552,7.749966,20.683891,TRAIN
Diving-Side,5,71.417816,5.531726,12.698862,TRAIN
Swing-Bench,2,152.79883,7.136896,17.049911,TRAIN
Swing-Bench,2,329.896,5.713971,19.723871,TRAIN
Swing-Bench,2,140.6432,6.983109,19.002676,TRAIN
Run-Side,0,177.25693,9.728561,25.174223,TRAIN
Riding-Horse,3,111.55737,7.8446465,17.79447,TRAIN
Swing-Bench,2,110.22448,7.8066664,18.609953,TRAIN
Golf-Swing,4,210.15283,5.6047153,17.687086,TRAIN
Diving-Side,5,388.51703,5.9047985,23.163012,TRAIN
Run-Side,0,225.2489,4.751628,18.927814,TRAIN
Swing-Bench,2,201.82527,6.607818,20.703056,TRAIN
Kicking,6,320.59937,6.158276,23.199762,TRAIN
Riding-Horse,3,172.903,8.930492,20.553358,TRAIN
Swing-Bench,2,130.50516,6.8944263,18.128529,TRAIN
Kicking,6,186.66156,8.189883,22.283232,TRAIN
