CLASS,LABEL,ERROR,LATENT_DISTANCE,EMBEDDING_DISTANCE,TYPE_DATASET
Run-Side,0,224.60239,4.872644,19.652355,TRAIN
Riding-Horse,3,273.07645,7.0296283,21.321653,TRAIN
Kicking,6,385.4112,6.5089893,25.131653,TRAIN
Kicking,6,155.59404,7.044204,20.024961,TRAIN
Golf-Swing,4,214.12634,7.915825,19.017656,TRAIN
Kicking,6,237.51231,7.9338365,22.599222,TRAIN
Golf-Swing,4,265.5462,7.163197,21.448889,TRAIN
Golf-Swing,4,499.53708,4.3525934,23.288555,TRAIN
Diving-Side,5,185.29196,4.4292674,15.338537,TRAIN
Swing-SideAngle,1,202.23393,6.749354,17.90661,TRAIN
Run-Side,0,102.431366,7.6896143,18.398012,TRAIN
Golf-Swing,4,304.53757,7.5735235,24.175673,TRAIN
Swing-Bench,2,128.99368,7.5367374,18.105648,TRAIN
Run-Side,0,355.03937,7.261064,27.853472,TRAIN
Swing-SideAngle,1,192.57431,6.461441,18.323854,TRAIN
Kicking,6,552.0127,4.075317,27.360554,TRAIN
Swing-Bench,2,161.09348,5.9147434,17.433952,TRAIN
Run-Side,0,237.6897,7.6133733,24.970089,TRAIN
Swing-SideAngle,1,237.6936,5.7342052,21.066898,TRAIN
Kicking,6,382.9497,8.0526705,23.823088,TRAIN
Kicking,6,297.52036,8.74054,24.55112,TRAIN
Swing-Bench,2,167.775,5.3631506,17.795221,TRAIN
Golf-Swing,4,371.14578,5.30138,21.408209,TRAIN
Run-Side,0,235.54929,4.48846,19.38443,TRAIN
Golf-Swing,4,327.09424,4.1470766,19.892807,TRAIN
Diving-Side,5,108.39003,4.8138394,12.747506,TRAIN
Golf-Swing,4,217.16957,5.891415,17.591839,TRAIN
Riding-Horse,3,189.98376,8.520793,19.007385,TRAIN
Swing-Bench,2,146.3044,5.495476,16.468248,TRAIN
Diving-Side,5,160.86575,4.5674567,15.071932,TRAIN
Swing-SideAngle,1,237.48607,4.7268586,19.040152,TRAIN
Diving-Side,5,361.23816,5.14277,21.412012,TRAIN
Diving-Side,5,104.136154,6.212352,14.295764,TRAIN
Swing-SideAngle,1,153.88605,5.000427,15.525458,TRAIN
Swing-SideAngle,1,140.68489,3.9248564,15.811479,TRAIN
Diving-Side,5,206.7122,3.9655387,17.036322,TRAIN
Run-Side,0,170.15201,10.650755,25.790854,TRAIN
Kicking,6,264.27188,5.38448,20.112507,TRAIN
Golf-Swing,4,267.3302,4.384173,18.201809,TRAIN
Swing-Bench,2,148.43298,6.6280084,16.925632,TRAIN
Kicking,6,150.19594,7.21651,20.190844,TRAIN
Diving-Side,5,248.75142,9.422416,24.597004,TRAIN
Diving-Side,5,211.37624,5.943097,19.523151,TRAIN
Run-Side,0,397.11478,5.1829276,25.37775,TRAIN
Kicking,6,278.8883,10.246215,25.90011,TRAIN
Swing-Bench,2,87.153465,8.532578,18.042072,TRAIN
Run-Side,0,213.93755,4.005225,18.741405,TRAIN
Diving-Side,5,213.0033,5.09682,16.785164,TRAIN
Run-Side,0,314.28088,6.532739,25.010294,TRAIN
Diving-Side,5,96.359276,5.1527696,13.777338,TRAIN
Swing-Bench,2,245.40823,6.830186,20.043083,TRAIN
Swing-Bench,2,140.57697,4.67976,17.352036,TRAIN
Kicking,6,231.36691,8.624952,23.11764,TRAIN
Run-Side,0,453.0893,6.4190993,27.01532,TRAIN
Swing-Bench,2,69.53548,7.244555,14.83059,TRAIN
Swing-Bench,2,259.71756,4.8712254,20.289791,TRAIN
Diving-Side,5,367.02008,6.0709314,22.152668,TRAIN
Golf-Swing,4,194.6938,6.637574,17.835749,TRAIN
Riding-Horse,3,225.00981,8.371463,22.905096,TRAIN
Golf-Swing,4,248.56256,4.19537,17.30967,TRAIN
Kicking,6,175.81721,8.169194,22.916819,TRAIN
Kicking,6,506.07117,6.0551076,28.41978,TRAIN
Golf-Swing,4,208.82446,5.398891,16.954325,TRAIN
Run-Side,0,148.03958,6.1345167,18.883068,TRAIN
Diving-Side,5,357.22662,4.750454,20.579256,TRAIN
Riding-Horse,3,162.79988,5.763931,17.150652,TRAIN
Golf-Swing,4,385.75262,4.0656986,20.641996,TRAIN
Run-Side,0,393.95084,5.9308076,25.267317,TRAIN
Riding-Horse,3,166.5716,8.229779,21.9135,TRAIN
Diving-Side,5,204.45654,4.565862,16.945993,TRAIN
Diving-Side,5,157.91177,4.9598274,15.00002,TRAIN
Kicking,6,143.163,6.9064374,19.938587,TRAIN
Swing-Bench,2,149.95068,8.210183,18.849571,TRAIN
Golf-Swing,4,159.4931,9.556276,22.728931,TRAIN
Swing-SideAngle,1,267.0032,4.444624,17.939188,TRAIN
Riding-Horse,3,354.8192,6.3177066,23.450825,TRAIN
Kicking,6,554.1147,4.4735093,24.58285,TRAIN
Swing-SideAngle,1,168.543,5.7751126,18.572744,TRAIN
Golf-Swing,4,231.33646,8.2596,22.158451,TRAIN
Swing-SideAngle,1,172.4195,4.9994845,17.965084,TRAIN
Diving-Side,5,162.65717,5.231946,15.249213,TRAIN
Swing-Bench,2,77.84764,7.304534,15.417706,TRAIN
Swing-SideAngle,1,340.9328,4.804441,21.902166,TRAIN
Riding-Horse,3,239.79918,5.717014,17.94022,TRAIN
Diving-Side,5,330.7805,3.7727747,18.745066,TRAIN
Swing-SideAngle,1,346.6188,4.0076685,20.65366,TRAIN
Diving-Side,5,170.58308,4.628611,15.226765,TRAIN
Kicking,6,178.44272,8.3278,22.018051,TRAIN
Run-Side,0,330.28534,6.788393,24.476551,TRAIN
Run-Side,0,342.42773,5.100152,25.054108,TRAIN
Swing-SideAngle,1,158.44884,5.4256296,17.181246,TRAIN
Swing-Bench,2,200.35078,8.280602,18.444387,TRAIN
Kicking,6,278.3903,8.08943,24.691992,TRAIN
Diving-Side,5,133.2963,4.4624577,14.798649,TRAIN
Golf-Swing,4,267.57666,3.440418,17.885426,TRAIN
Swing-SideAngle,1,158.44025,6.899679,17.50313,TRAIN
Run-Side,0,215.9021,5.5459867,19.261429,TRAIN
Golf-Swing,4,159.19429,6.534712,16.7891,TRAIN
Swing-Bench,2,176.56705,7.5994883,19.643534,TRAIN
Kicking,6,360.69827,7.4873385,23.84602,TRAIN
Swing-Bench,2,97.1062,7.24111,15.275179,TRAIN
Kicking,6,317.75714,9.308981,24.09737,TRAIN
Kicking,6,307.4157,6.60027,22.65556,TRAIN
Swing-Bench,2,320.19687,6.0644193,23.639769,TRAIN
Kicking,6,102.13608,12.780053,24.789793,TRAIN
Riding-Horse,3,246.5358,6.1900563,19.396921,TRAIN
Swing-SideAngle,1,371.2625,5.580265,23.813517,TRAIN
Swing-SideAngle,1,311.85327,3.9982939,19.97526,TRAIN
Swing-SideAngle,1,205.92911,4.1555223,17.610767,TRAIN
Run-Side,0,263.99368,9.500273,25.91474,TRAIN
Kicking,6,174.49207,6.2476025,19.965193,TRAIN
Riding-Horse,3,140.71771,8.534021,19.057165,TRAIN
Run-Side,0,210.05861,8.125341,25.042929,TRAIN
Run-Side,0,328.68442,8.65615,25.92788,TRAIN
Run-Side,0,491.85242,5.698445,27.256945,TRAIN
Swing-SideAngle,1,179.02074,5.8309507,17.709465,TRAIN
Swing-Bench,2,309.6363,5.4466066,24.189148,TRAIN
Swing-Bench,2,139.62085,4.8414326,16.950785,TRAIN
Swing-Bench,2,110.973785,8.0332,17.451252,TRAIN
Golf-Swing,4,400.5642,6.4641232,23.853842,TRAIN
Kicking,6,168.42393,9.001828,22.967718,TRAIN
Diving-Side,5,185.45618,2.6961908,14.170119,TRAIN
Swing-SideAngle,1,251.03543,3.3648388,17.249796,TRAIN
Diving-Side,5,115.155754,5.7233515,13.90106,TRAIN
Riding-Horse,3,296.55496,6.8919168,22.439798,TRAIN
Swing-Bench,2,142.54782,6.134343,15.71208,TRAIN
Swing-Bench,2,147.5184,8.897286,18.798632,TRAIN
Golf-Swing,4,256.4891,4.0100064,17.984444,TRAIN
Kicking,6,191.49881,8.096664,23.681065,TRAIN
Golf-Swing,4,387.61014,4.0421476,21.276117,TRAIN
Swing-SideAngle,1,286.2485,2.967099,18.460373,TRAIN
Riding-Horse,3,192.3962,4.7420406,17.632788,TRAIN
Golf-Swing,4,243.76978,8.745935,19.9183,TRAIN
Riding-Horse,3,233.60886,3.4812388,17.307816,TRAIN
Kicking,6,209.44739,6.38048,20.361101,TRAIN
Golf-Swing,4,339.48138,4.688885,21.347303,TRAIN
Riding-Horse,3,165.38416,7.623547,19.020403,TRAIN
Golf-Swing,4,212.93471,5.79482,17.491932,TRAIN
Riding-Horse,3,154.17618,5.395116,16.828339,TRAIN
Swing-SideAngle,1,385.08142,5.542992,22.87779,TRAIN
Kicking,6,218.21376,7.3548007,23.924694,TRAIN
Diving-Side,5,97.50854,5.852424,14.054886,TRAIN
Riding-Horse,3,100.762955,5.915225,15.502386,TRAIN
Kicking,6,290.7005,6.2959833,24.240501,TRAIN
Kicking,6,194.00488,7.9160833,21.771582,TRAIN
Run-Side,0,126.84835,7.41383,18.6454,TRAIN
Swing-SideAngle,1,181.1365,3.4110346,16.718353,TRAIN
Golf-Swing,4,302.0636,3.7021146,18.403408,TRAIN
Swing-Bench,2,232.92545,5.4491253,18.523167,TRAIN
Diving-Side,5,259.92398,7.009729,19.705036,TRAIN
Swing-SideAngle,1,256.853,4.3540154,20.521303,TRAIN
Golf-Swing,4,530.3982,4.5076003,24.165455,TRAIN
Golf-Swing,4,258.6416,5.169513,18.190432,TRAIN
Golf-Swing,4,274.39902,6.0089107,19.827646,TRAIN
Swing-SideAngle,1,409.9887,5.0517373,24.139585,TRAIN
Kicking,6,434.46884,5.033334,23.039476,TRAIN
Swing-SideAngle,1,205.34668,5.011814,18.521545,TRAIN
Swing-SideAngle,1,308.24905,4.740837,19.440516,TRAIN
Riding-Horse,3,133.18417,9.259191,19.306358,TRAIN
Swing-SideAngle,1,203.2537,3.2667384,17.063404,TRAIN
Swing-SideAngle,1,120.20116,5.9962864,17.226614,TRAIN
Diving-Side,5,183.26866,7.490316,18.572418,TRAIN
Run-Side,0,201.75044,7.883438,23.65231,TRAIN
Swing-SideAngle,1,200.55559,3.5808764,16.74656,TRAIN
Run-Side,0,147.74094,9.086705,25.012045,TRAIN
Golf-Swing,4,214.71378,5.9559145,18.007614,TRAIN
Swing-SideAngle,1,209.8248,5.4116035,17.994307,TRAIN
Kicking,6,253.66608,8.143529,25.130142,TRAIN
Run-Side,0,358.11545,6.636523,25.83664,TRAIN
Swing-SideAngle,1,238.99896,2.845803,16.163221,TRAIN
Riding-Horse,3,275.88727,5.374527,19.858511,TRAIN
Riding-Horse,3,229.63992,7.980071,20.77591,TRAIN
Run-Side,0,184.12015,6.283826,19.584955,TRAIN
Riding-Horse,3,251.74786,5.70263,20.743744,TRAIN
Riding-Horse,3,261.4127,7.4114594,22.578175,TRAIN
Riding-Horse,3,298.64706,6.800001,22.058561,TRAIN
Run-Side,0,136.42847,6.879339,18.979628,TRAIN
Riding-Horse,3,150.98882,7.5696306,18.306076,TRAIN
Riding-Horse,3,202.599,5.6906476,17.360308,TRAIN
Golf-Swing,4,267.4027,3.8191435,17.485706,TRAIN
Kicking,6,220.65845,5.835572,20.135483,TRAIN
Kicking,6,176.75708,6.9157634,20.038311,TRAIN
Run-Side,0,173.24901,5.8521833,18.995173,TRAIN
Swing-SideAngle,1,252.52098,5.075883,20.390812,TRAIN
Golf-Swing,4,213.91895,5.670692,17.879162,TRAIN
Kicking,6,369.24326,7.5191593,24.517641,TRAIN
Kicking,6,275.48575,7.7068577,22.498892,TRAIN
Diving-Side,5,89.1264,5.42281,14.068066,TRAIN
Golf-Swing,4,167.75168,7.892345,17.046904,TRAIN
Diving-Side,5,196.4716,3.327865,16.071745,TRAIN
Run-Side,0,321.94116,6.7469635,26.982485,TRAIN
Swing-Bench,2,140.93593,7.720081,18.876963,TRAIN
Swing-Bench,2,151.18666,6.2340174,18.12591,TRAIN
Swing-SideAngle,1,412.74808,4.8933697,24.13919,TRAIN
Diving-Side,5,468.2217,4.6830153,24.47224,TRAIN
Golf-Swing,4,411.3932,4.4425893,22.665943,TRAIN
Diving-Side,5,179.0455,5.2323513,15.58235,TRAIN
Diving-Side,5,148.91774,5.773065,15.471092,TRAIN
Kicking,6,260.6261,7.9784956,25.111326,TRAIN
Golf-Swing,4,460.99677,3.3405538,22.004843,TRAIN
Diving-Side,5,154.5015,4.5311704,14.899313,TRAIN
Golf-Swing,4,298.8614,4.897802,19.903124,TRAIN
Riding-Horse,3,187.96263,7.3980103,19.005756,TRAIN
Kicking,6,370.80508,6.257576,22.630753,TRAIN
Golf-Swing,4,210.54407,2.5853782,15.56626,TRAIN
Run-Side,0,322.92926,3.1417665,20.239395,TRAIN
Swing-SideAngle,1,199.61478,4.315479,17.03636,TRAIN
Kicking,6,167.62604,6.4381323,18.999239,TRAIN
Golf-Swing,4,262.00354,4.4430127,18.041645,TRAIN
Diving-Side,5,268.97214,2.3952703,16.769304,TRAIN
Golf-Swing,4,240.20216,4.6138186,17.550081,TRAIN
Golf-Swing,4,210.73273,7.229608,18.867542,TRAIN
Riding-Horse,3,233.78436,6.478579,22.030554,TRAIN
Riding-Horse,3,128.26752,7.4018703,18.653013,TRAIN
Golf-Swing,4,174.57404,8.488829,18.673777,TRAIN
Swing-Bench,2,116.2041,8.210281,18.183685,TRAIN
Kicking,6,175.11372,9.106262,22.0618,TRAIN
Riding-Horse,3,349.4306,6.582211,22.902918,TRAIN
Kicking,6,292.26056,6.8838873,25.185656,TRAIN
